,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,GASTOS,PREPAID,COLLECT,,,,,,,,
,,,,,Flete Matítimo,,,,,,,,,,
,,,,,Bunker,,,,,,,,,,
PUERTO DE DESTINO,ORANJESTAD ,,FECHA Y HORA DE CIERRE,,CAF,,,,,,,,,,
PAIS DE DESTINO,ARUBA  ,,AGENTE EN DESTINO,LOGIX LOGISTICS,IMO,,,,,,,,,,
PUERTO DE SALIDA,MANZANILLO,,TIPO DE FLETE,COLLECT,Documentos,,,,,,,,,,
ETD,44580,,NO. DE BOOKING,913722610,Fumigación,,,,,,,,,,
ETA,44587,,NAVIERA,SEALAND ,Acarreo,,,,,,,,,,
BARCO,X-PRESS SHANNON  V. 202S,,TAMAÑO,1X40,Ley,,,,,,,,,,
NO. CONTENEDOR,MSKU1698062,,SELLOS,ML-PA0367357,Port Security,,,,,,,,,,
MASTER,913722610,,,CO1419509,Total,, B/. 	-   ,,,,,,,,
HOUSE NUMBER,CONSIGNEE/CLIENT,PIECES,WEIGHT in KG,VOLUME in CBM,SHIPPER / AGENTE DE ORIGEN,ALL OF THESE ARE CHARGES AND I NEED TO CREATE IN ZOHO ONLY FOR PANAMA,,,,,,,,,
BL NUMBER,CONSIGNEE,BULTO,PESO,MEDIDAS,SHIPPER / AGENTE DE ORIGEN,O.F. PPD,O.F. CC,DISB,LSS,BAF,Panama congestion,ERF,THC,OCEAN FREIGHT SERVICES,ORIGIN CHARGES
CFZORJ12282101,FAST DELIVERY SERVICES N.V.,3,114.6,0.67,"DSV AIR & SEA, PA. INC",,,,,,,,,0,0
CFZORJ01062201,FAST DELIVERY SERVICES N.V.,1,1087,2.1,"DSV AIR & SEA, PA. INC",,,,,,,,,0,0
COL206498,MASTERCARGO INC.,6,464.8,5.879,HELLMANN WORLDWIDE LOG,,300,,,,,,,300,0
KEXP-2110003,SCHOOTSTRA LTD,4,1552,9.504,GUANGZHOU XULIANG DECO,,,1092.96,,190.08,57,30,15,0,1385.04
COL206612,IMSAN,1,1.1,0.03,DRAEGERWERK AG & CO. K,,,,,20,10,30,15,0,75
AMIGL210560432A,PROTEGY SUPPLEMENTS,74,759.6,2.32,NANCHANG DENTAL BRIGHT,,,176.2,13.92,81.2,13.92,30,15,0,330.24
MS-CSA210577443,EAGLE ARUBA RESORT & CASINO,82,1560,11.69,JIANGSU MOFISI WEAVING ,,5786.55,418.45,58.45,233.8,70.14,30,15,5786.55,825.84
COL206658,E.D. BERMUDEZ DENTAL CLINIC,38,972.36,11.834,SIRONA DENTAL SYSTEMS,,,,,236.68,70.98,30,15,0,352.66
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,TOTALES,209,6511.46,44.027,,,6086.55,1687.61,72.37,761.76,222.04,150,75,5786.55,2968.78
 NOTAR:  BL/ COL206498  CLASE 2.2  UN 1956 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
THE ONLY THING THAT IS MISSING HER EIS THE MASTER NUMBER WHICH WE SHOULD PUT ON THIS SHEET MANUALLY BEFORE UPLOADING TO CREATE WR and HOUSES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MASTER NUMBER,,,,,,,,,,,,,,,
